ObsID,StationName,Provider ID,Country code,StationLat,StationLon,Height,Height Units,DrainingArea.km2.Provider,Catchment Area Units,Added Date,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,HasWL,HasD,Alive D,StartDate_hist_24,EndDate_hist_24,StartDate_nrt_24,EndDate_nrt_24,StartDate_hist_6,EndDate_hist_6,StartDate_nrt_6,EndDate_nrt_6,DiffDays_hist_24,DiffDays_nrt_24,DiffDays_hist_6,DiffDays_nrt_6,cal_hist_24h,cal_nrt_24h,cal_hist_6h,cal_nrt_6h,CAL_TYPE,Notes,EC_calib,Dam/Lake
2,Hofkirchen,1004,DE,48.676627,13.115212,299.6,m,47496,km2,41170.79167,Danube,Danube,Danube,C059,47525,4547500,2847500,TRUE,TRUE,1,1,1,307,40544,41579,43343,-,-,41579,43342.5,40237,1764,-,1763,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
4,Barby,1004,DE,51.984836,11.882244,46.11,m,94060,km2,41170.79167,Elbe,Elbe,Elbe,C348,93975,4452500,3207500,TRUE,TRUE,1,1,1,1899-11-02 00:00:00,42005,41132,43343,41456,42005,41131.25,43342.25,42063,2211,549,2211,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
5,Wittenberg / Lutherstadt,1004,DE,51.856531,12.646309,62.44,m,61879,km2,41170.79167,Elbe,Elbe,Elbe,C164,61675,4497500,3197500,TRUE,TRUE,1,1,1,18569,40544,41137,43343,-,-,41136.25,43342.25,21975,2206,-,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
9,Rathenow UP,1004,DE,52.607446,12.321014,24.52,m,19288.46,km2,41170.79167,Lower Havel,Elbe,Elbe,C351,18875,4472500,3287500,TRUE,FALSE,1,1,1,18630,40317,-,-,-,-,-,-,21687,-,-,-,TRUE,FALSE,FALSE,FALSE,HIST_24h,-,3,-
11,Calbe Grizehne,1004,DE,51.916414,11.812211,49.36,m,23719,km2,41170.79167,Saale,Elbe,Elbe,C169,23725,4442500,3202500,TRUE,TRUE,1,1,1,11629,42005,41137,43343,41456,42005,41136.25,43342.25,30376,2206,549,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
12,Tangermuende,1004,DE,52.541308,11.978054,27.56,m,97780,km2,41170.79167,Elbe,Elbe,Elbe,C170,97875,4457500,3272500,TRUE,TRUE,1,1,1,22222,40544,41149,43343,-,-,41148.25,43342.25,18322,2194,-,2194,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
14,Wittenberge,1004,DE,52.985531,11.759441,16.72,m,123532,km2,41170.79167,Elbe,Elbe,Elbe,C171,123300,4432500,3327500,TRUE,TRUE,1,1,1,1899-11-02 00:00:00,40544,41137,43343,-,-,41136.25,43342.25,40602,2206,-,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
15,Aken,1004,DE,51.857869,12.058857,50.2,m,70093,km2,41170.79167,Elbe,Elbe,Elbe,C349,69875,4457500,3202500,TRUE,TRUE,1,1,1,13090,42005,41132,43343,41456,42005,41131.25,43342.25,28915,2211,549,2211,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
18,Halle-Trotha UP,1004,DE,51.514254,11.954551,69.34,m,17988,km2,41170.79167,Saale,Elbe,Elbe,C350,18000,4457500,3157500,TRUE,TRUE,1,1,1,20030,42005,41137,43343,41456,42005,41136.25,43342.25,21975,2206,549,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,small outliers,3,-
19,Neu Darchau,1004,DE,53.232262,10.8888,5.68,m,131950,km2,41170.79167,Elbe,Elbe,Elbe,C172,131450,4377500,3352500,FALSE,TRUE,1,0,1,1874-11-02 00:00:00,40544,41132,43343,-,-,41131.25,43342.25,49733,2211,-,2211,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
21,Eisenhuettenstadt,1004,DE,52.15332098,14.68796545,25.17,m,52033,km2,41170.79167,Oder,Oder,Oder,C365,51150,4642500,3237500,FALSE,TRUE,1,0,1,7612,42005,41137,43343,41456,42005,41136.25,43342.25,34393,2206,549,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
26,Hohensaaten-Finow,1004,DE,52.864739,14.141123,0.16,m,109564,km2,41170.79167,Oder,Oder,Oder,C178,109875,4602500,3307500,TRUE,TRUE,1,1,1,7612,42005,41137,43343,41456,42005,41136.25,43342.25,34393,2206,549,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
27,Leun (Neu),1004,DE,50.545134,8.355275,135,m,3571,km2,41170.79167,Lahn,Rhine,Rhine,C338,3575,4207500,3047500,TRUE,TRUE,1,1,1,13090,42005,41137,43343,41456,42005,41136.25,43342.5,28915,2206,549,2206,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
30,Plittersdorf,1004,DE,48.885937,8.135974,106.76,m,48276,km2,41170.79167,Rhine,Rhine,Rhine,-,48500,4182500,2862500,TRUE,TRUE,1,1,1,27335,42005,41336,43343,41456,42005,41336,43342.5,14670,2007,549,2006,TRUE,TRUE,FALSE,TRUE,NRT_6h,-,3,-
32,Perl,1004,DE,49.472537,6.369075,138.5,m,11522,km2,41170.79167,Moselle,Rhine,Rhine,C207,11525,4057500,2942500,TRUE,TRUE,1,1,1,27336,42005,41195,43343,41456,42005,41194.25,43342.5,14669,2148,549,2148,TRUE,TRUE,FALSE,TRUE,NRT_6h,Use after 03-2013  Outliers removed with qcc and small oscillations zeros,3,-
